chain_id,ula,uhmc_10,uhmc_uniform_19
90,1.0719557040801844,1.1143732473636938,1.1148416282830935
91,1.1445080041796805,1.1531452244842466,1.1020032684188943
92,1.0838133864734338,1.1344232915786057,1.1425211252320318
93,1.0567719207303783,1.1379009775538855,1.1189413676921955
94,1.1389540929086448,1.116463712443722,1.133213554900957
95,1.083105914214802,1.1147690230092966,1.1281754779117006
96,1.0005218391006312,1.1411804709170061,1.1410404058012713
97,1.4295393208028342,1.1466163152550748,1.1160110223910937
98,1.2064281861801307,1.1064622223097242,1.1160109062897914
99,1.1000261857761726,1.1429821106740616,1.1355788348559677
100,1.0608548994374323,1.1189073676127232,1.1175947119444665
101,1.0172707067954578,1.1361678274794103,1.1145254030977856
102,1.1775637135648902,1.1341745594179462,1.1247097180599774
103,1.1593960066637952,1.1077900070605595,1.1142644991229516
104,1.0351507497508123,1.1139493035122077,1.097709293203372
105,1.1759242232513485,1.1128034095490684,1.1276683872072593
106,1.0425549885641279,1.1193610859495047,1.0996425835804653
107,1.1562268242326246,1.1212364357689804,1.1059375882332492
108,1.0297817961358937,1.1166588263125707,1.1156888194263086
109,1.1296373497928134,1.1172711752776212,1.1202139476876596
110,1.0930601547498955,1.126465254209992,1.1192471397797004
111,1.068181202396441,1.1254546412250417,1.1416418918594098
112,1.0848222871877793,1.1249618867777635,1.1281306475989576
113,1.151385035989014,1.1591873326821591,1.1162839432189573
114,1.126114184504173,1.138079150388153,1.1075615107316044
115,1.0629783417595797,1.1275383921109852,1.1162711579441116
116,1.2563840391802419,1.1271646735189647,1.1414084002594278
117,1.0772476575150718,1.1312134132306497,1.1281319570835409
118,1.103322771321673,1.1243241074570747,1.132900439327181
119,1.0555094703805175,1.1340657711664792,1.126404204891921
120,1.1200396624509983,1.1132884418077644,1.126111127024706
121,1.043035461061601,1.1030744666758572,1.1188901484949532
122,1.1409550550513372,1.1010684469661127,1.1191403054105096
123,1.0462352842962694,1.1406975426482335,1.1197666683695462
124,1.039591605725208,1.140592256100758,1.120806317884006
125,1.1977047583010154,1.1119736215092115,1.1039860942153674
126,1.3383100090996378,1.1174313992082145,1.1212042209962478
127,1.0874277487247883,1.121374507347373,1.1218185127969071
128,1.2337452723763918,1.09742938512529,1.1186547360843655
129,1.111138908125876,1.1368184166320572,1.131367531327098
130,1.2018448808976374,1.1296560791951156,1.1270627604615546
131,1.1498567760234877,1.1214528743473444,1.1311163072889272
132,1.1550189325459055,1.1159441622091275,1.104186654544137
133,1.1410327629763606,1.095142776429688,1.1126570917340828
134,1.0447232098770525,1.1306383468671652,1.1167823820621872
135,1.1144488543088855,1.1129218439409105,1.1191878999353244
136,1.067910104328777,1.1270535831258757,1.1106519480448362
137,1.089036666335969,1.1025626650280278,1.1039177189258738
138,1.2943892666607983,1.1300840729178894,1.1165386415519203
139,1.1723656973686671,1.1128754700120431,1.136066816600885
140,1.1244930057382476,1.1318270051021067,1.1424603944268534
141,1.099915026538435,1.1258924018152945,1.1461351438318192
142,1.176656300093371,1.1310413350338622,1.1208088178364568
143,1.0726170443909822,1.1373707478829052,1.1349738052746354
144,1.1682191868844718,1.1162340898806566,1.1385804789402687
145,1.0919750140813815,1.1489362302495922,1.1151947656752033
146,1.109559624447597,1.1036138817811774,1.1042921799319163
147,1.153804982241513,1.1306741743588031,1.1368168811369925
148,1.1187595938491417,1.120997100382177,1.125801232371148
149,1.1038051286048012,1.095045159683986,1.122315691041875
